iter	Passed	Remaining
470	674	757
471	675	755
472	676	753
473	677	751
474	678	749
475	679	747
476	680	745
477	681	744
478	682	742
479	683	740
480	684	738
481	686	737
482	687	736
483	688	734
484	689	732
485	690	730
486	691	728
487	693	727
488	693	725
489	694	723
490	695	720
491	696	718
492	697	716
493	698	715
494	699	714
495	700	712
496	701	710
497	702	708
498	703	705
499	703	703
500	704	701
501	705	699
502	707	698
503	708	696
504	708	694
505	709	692
506	710	690
507	711	688
508	712	687
509	713	685
510	715	684
511	716	682
512	717	680
513	717	678
514	718	676
515	719	674
516	722	674
517	724	673
518	725	672
519	726	671
520	728	669
521	729	667
522	730	666
523	731	664
524	733	663
525	735	662
526	736	661
527	737	659
528	738	657
529	739	655
530	740	653
531	741	652
532	742	650
533	745	650
534	746	648
535	747	646
536	747	644
537	748	642
538	751	642
539	752	641
540	753	639
541	754	637
542	755	635
543	756	634
544	757	632
545	759	631
546	760	630
547	761	628
548	762	626
549	763	624
550	765	623
551	766	622
552	768	620
553	769	619
554	770	617
555	770	615
556	771	613
557	774	613
558	775	611
559	776	609
560	776	607
561	777	606
562	778	604
563	780	603
564	781	601
565	782	600
566	783	598
567	784	596
568	784	594
569	785	592
570	786	591
571	788	590
572	789	588
573	790	586
574	791	585
575	792	583
576	793	581
577	795	580
578	796	579
579	797	577
580	798	575
581	799	574
582	800	572
583	801	570
584	802	569
585	805	568
586	806	567
587	807	565
588	807	563
589	808	561
590	819	567
591	820	565
592	821	563
593	822	561
594	822	560
595	823	558
596	825	557
597	827	555
598	827	554
599	828	552
600	829	550
601	830	548
602	831	547
603	832	545
604	833	544
605	834	542
606	835	540
607	836	539
608	836	537
609	837	535
610	838	533
611	838	531
612	840	530
613	841	528
614	841	527
615	843	525
616	843	523
617	844	522
618	845	520
619	846	519
620	849	518
621	850	516
622	851	515
623	852	513
624	856	514
625	858	512
626	859	511
627	860	509
628	861	508
629	864	507
630	866	506
631	867	505
632	868	503
633	870	502
634	872	501
635	872	499
636	873	497
637	874	496
638	875	494
639	876	492
640	877	491
641	878	489
642	881	489
643	882	487
644	882	485
645	883	484
646	885	483
647	887	481
648	888	480
649	889	478
650	890	477
651	891	476
652	893	474
653	894	473
654	896	472
655	896	470
656	897	468
657	899	467
658	900	466
659	902	464
660	903	463
661	903	461
662	904	459
663	906	458
664	908	457
665	909	456
666	910	454
667	910	452
668	911	451
669	912	449
670	913	447
671	914	446
672	915	445
673	916	443
674	917	441
675	918	440
676	919	438
677	920	437
678	921	435
679	922	434
680	923	432
681	923	430
682	924	429
683	925	427
684	926	425
685	926	424
686	927	422
687	929	421
688	930	420
689	931	418
690	932	416
691	932	415
692	933	413
693	934	412
694	935	410
695	936	408
696	936	407
697	937	405
698	938	403
699	938	402
700	939	400
701	940	399
702	940	397
703	941	395
704	942	394
705	942	392
706	944	391
707	945	390
708	946	388
709	947	386
710	947	385
711	948	383
712	949	382
713	950	380
714	951	379
715	952	377
716	952	376
717	953	374
718	954	372
719	954	371
720	955	369
721	956	368
722	956	366
723	957	365
724	960	364
725	961	362
726	962	361
727	963	359
728	963	358
729	964	356
730	965	355
731	966	353
732	967	352
733	968	350
734	969	349
735	969	347
736	970	346
737	971	344
738	972	343
739	975	342
740	976	341
741	977	339
742	978	338
743	979	336
744	979	335
745	980	333
746	981	332
747	982	331
748	984	329
749	984	328
750	985	326
751	986	325
752	987	323
753	987	322
754	989	321
755	990	319
756	991	318
757	992	316
758	993	315
759	994	313
760	994	312
761	995	311
762	997	309
763	998	308
764	999	306
765	999	305
766	1000	303
767	1001	302
768	1001	300
769	1002	299
770	1003	298
771	1005	296
772	1006	295
773	1007	294
774	1007	292
775	1008	291
776	1009	289
777	1010	288
778	1011	286
779	1012	285
780	1013	284
781	1013	282
782	1014	281
783	1015	279
784	1015	278
785	1016	276
786	1017	275
787	1019	274
788	1020	272
789	1021	271
790	1022	270
791	1023	268
792	1023	267
793	1024	265
794	1025	264
795	1026	263
796	1028	261
797	1028	260
798	1029	259
799	1030	257
800	1031	256
801	1032	254
802	1032	253
803	1034	252
804	1035	250
805	1036	249
806	1037	248
807	1038	246
808	1038	245
809	1039	243
810	1040	242
811	1041	241
812	1042	239
813	1043	238
814	1044	237
815	1045	235
816	1045	234
817	1046	232
818	1047	231
819	1048	230
820	1050	228
821	1051	227
822	1051	226
823	1052	224
824	1053	223
825	1053	222
826	1054	220
827	1055	219
828	1057	218
829	1057	216
830	1058	215
831	1059	213
832	1059	212
833	1060	211
834	1061	209
835	1061	208
836	1062	206
837	1064	205
838	1065	204
839	1065	203
840	1066	201
841	1067	200
842	1068	198
843	1068	197
844	1069	196
845	1070	194
846	1071	193
847	1072	192
848	1073	190
849	1074	189
850	1075	188
851	1075	186
852	1076	185
853	1077	184
854	1079	183
855	1080	181
856	1081	180
857	1082	179
858	1082	177
859	1083	176
860	1084	175
861	1085	173
862	1086	172
863	1088	171
864	1090	170
865	1091	168
866	1094	167
867	1095	166
868	1096	165
869	1097	163
870	1097	162
871	1098	161
872	1099	159
873	1100	158
874	1101	157
875	1102	156
876	1103	154
877	1104	153
878	1104	152
879	1105	150
880	1106	149
881	1107	148
882	1108	146
883	1109	145
884	1110	144
885	1111	142
886	1111	141
887	1112	140
888	1113	139
889	1114	137
890	1115	136
891	1116	135
892	1117	133
893	1117	132
894	1118	131
895	1119	129
896	1119	128
897	1120	127
898	1121	125
899	1121	124
900	1122	123
901	1123	122
902	1124	120
903	1125	119
904	1126	118
905	1127	116
906	1127	115
907	1128	114
908	1129	113
909	1130	111
910	1131	110
911	1132	109
912	1133	107
913	1133	106
914	1134	105
915	1135	104
916	1135	102
917	1136	101
918	1137	100
919	1138	99
920	1139	97
921	1140	96
922	1141	95
923	1142	93
924	1142	92
925	1143	91
926	1144	90
927	1146	88
928	1146	87
929	1147	86
930	1148	85
931	1148	83
932	1149	82
933	1150	81
934	1151	80
935	1151	78
936	1153	77
937	1154	76
938	1155	75
939	1155	73
940	1156	72
941	1157	71
942	1159	70
943	1161	68
944	1163	67
945	1164	66
946	1166	65
947	1169	64
948	1170	62
949	1171	61
950	1172	60
951	1173	59
952	1174	57
953	1175	56
954	1176	55
955	1177	54
956	1178	52
957	1179	51
958	1180	50
959	1180	49
960	1182	48
961	1183	46
962	1184	45
963	1185	44
964	1186	43
965	1186	41
966	1187	40
967	1188	39
968	1189	38
969	1190	36
970	1191	35
971	1191	34
972	1192	33
973	1193	31
974	1193	30
975	1194	29
976	1195	28
977	1195	26
978	1197	25
979	1198	24
980	1199	23
981	1200	21
982	1200	20
983	1201	19
984	1202	18
985	1203	17
986	1204	15
987	1205	14
988	1205	13
989	1206	12
990	1207	10
991	1207	9
992	1208	8
993	1209	7
994	1209	6
995	1210	4
996	1211	3
997	1212	2
998	1213	1
999	1214	0
